Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2018,53,101177,101177,Melbourne (CBD),Harry R Song & Associates,6931,Legal Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Evision,7000,Computer System Design and Related Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),DH Flinders,6962,Management Advice and Other Consulting Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Bannister Law,6931,Legal Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),David Barrese & Associates Pty Ltd,6931,Legal Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Monkey King Migration & Education Service Pty Ltd,9539,Other Personal Services n.e.c.,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Vacant,0,Vacant Space,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),McPhee Mediation Centre,6931,Legal Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Vacant,0,Vacant Space,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Jack Gaddie & Associates,6932,Accounting Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),ICA Immigration,9539,Other Personal Services n.e.c.,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Arcadia Intellectual Property,6931,Legal Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Essentia Accounting,6932,Accounting Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Linq Property Pty Ltd,6720,Real Estate Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101177,101177,Melbourne (CBD),Truscan & Associates,7293,Credit Reporting and Debt Collection Services,144.9591969,-37.81499725,"(-37.81499725, 144.9591969)"
2018,53,101179,101179,Melbourne (CBD),CBD Bakery,4511,Cafes and Restaurants,144.9594641,-37.81506553,"(-37.81506553, 144.9594641)"
2018,53,101179,101179,Melbourne (CBD),Proquo,7000,Computer System Design and Related Services,144.9594641,-37.81506553,"(-37.81506553, 144.9594641)"
2018,53,101179,101179,Melbourne (CBD),Livaditis & Co Lawyers And Consultants,6931,Legal Services,144.9594641,-37.81506553,"(-37.81506553, 144.9594641)"
2018,53,101179,101179,Melbourne (CBD),Adelphi Digital,7000,Computer System Design and Related Services,144.9594641,-37.81506553,"(-37.81506553, 144.9594641)"
2018,63,105710,105710,Melbourne (CBD),Telstra,5801,Wired Telecommunications Network Operation,144.9593764,-37.81360759,"(-37.81360759, 144.9593764)"
2018,63,105865,105865,Melbourne (CBD),Supreme Court,7540,Justice,144.9590666,-37.81397666,"(-37.81397666, 144.9590666)"
2018,63,105709,105709,Melbourne (CBD),Wunderkammer,4279,Other Store-Based Retailing n.e.c.,144.9594387,-37.81344383,"(-37.81344383, 144.9594387)"
2018,63,105709,105709,Melbourne (CBD),Vacant,0,Vacant Space,144.9594387,-37.81344383,"(-37.81344383, 144.9594387)"
2018,63,105709,105709,Melbourne (CBD),Vacant,0,Vacant Space,144.9594387,-37.81344383,"(-37.81344383, 144.9594387)"
2018,435,110137,110137,West Melbourne (Residential),Flagstaff Cellars,4123,Liquor Retailing,144.9550489,-37.80814815,"(-37.80814815, 144.9550489)"
2018,432,108443,108443,West Melbourne (Residential),Smooth Cafe,4512,Takeaway Food Services,144.952559,-37.80741141,"(-37.80741141, 144.952559)"
2018,439,102966,102966,West Melbourne (Residential),Dowling McGregor,6931,Legal Services,144.9530181,-37.80879311,"(-37.80879311, 144.9530181)"
2018,111,111180,105330,West Melbourne (Residential),Mr James D Mapleston,6931,Legal Services,144.9521967,-37.80962061,"(-37.80962061, 144.9521967)"
2018,111,111183,105330,West Melbourne (Residential),Pinot Now,3606,Liquor and Tobacco Product Wholesaling,144.9521967,-37.80962061,"(-37.80962061, 144.9521967)"
2018,111,111185,105330,West Melbourne (Residential),Coachwood IT Executive Recruitment,7211,Employment Placement and Recruitment Services,144.9521967,-37.80962061,"(-37.80962061, 144.9521967)"
2018,111,105329,105329,West Melbourne (Residential),EJM Financial Services,6240,Financial Asset Investing,144.9522867,-37.80980016,"(-37.80980016, 144.9522867)"
2018,101,569276,569276,West Melbourne (Residential),Australasian College For Emergency Medicine,9551,Business and Professional Association Services,144.9521597,-37.81142298,"(-37.81142298, 144.9521597)"
2018,91,105106,105106,West Melbourne (Residential),Himart Melbourne,4111,Convenience Store,144.9517979,-37.81219569,"(-37.81219569, 144.9517979)"
2018,91,105465,105465,West Melbourne (Residential),Middendorp Electrics,3494,Other Electrical and Electronic Good Wholesaling,144.9517686,-37.81282952,"(-37.81282952, 144.9517686)"
2018,91,105466,105466,West Melbourne (Residential),Vacant,0,Vacant Space,144.9519446,-37.81277842,"(-37.81277842, 144.9519446)"
2018,91,105466,105466,West Melbourne (Residential),Vacant,0,Vacant Space,144.9519446,-37.81277842,"(-37.81277842, 144.9519446)"
2018,111,102946,102946,West Melbourne (Residential),Holdstock Fittipaldi Law Pty Ltd,6931,Legal Services,144.9518331,-37.80981563,"(-37.80981563, 144.9518331)"
2018,111,102946,102946,West Melbourne (Residential),Asthma Australia,6910,Scientific Research Services,144.9518331,-37.80981563,"(-37.80981563, 144.9518331)"
2018,101,573826,573826,West Melbourne (Residential),ABD Group Pty Ltd,3019,Other Residential Building Construction,144.9516844,-37.81107644,"(-37.81107644, 144.9516844)"
2018,111,100861,100861,West Melbourne (Residential),Lucy Guerin Association Inc,9001,Performing Arts Operation,144.9518645,-37.81026798,"(-37.81026798, 144.9518645)"
2018,101,100848,100848,West Melbourne (Residential),Vacant,0,Vacant Space,144.9523177,-37.81089704,"(-37.81089704, 144.9523177)"
2018,101,105326,105326,West Melbourne (Residential),Haileybury City,8023,Combined Primary and Secondary Education,144.9529245,-37.81111267,"(-37.81111267, 144.9529245)"
2018,101,105326,105326,West Melbourne (Residential),The Haileyburian,4511,Cafes and Restaurants,144.9529245,-37.81111267,"(-37.81111267, 144.9529245)"
2018,91,105468,105468,West Melbourne (Residential),Vacant,0,Vacant Space,144.9524129,-37.81250514,"(-37.81250514, 144.9524129)"
2018,91,105103,105103,West Melbourne (Residential),Foresters Friendly Society,6240,Financial Asset Investing,144.9530177,-37.81172843,"(-37.81172843, 144.9530177)"
2018,111,105328,105328,West Melbourne (Residential),Multifield Constructions,3020,Non-Residential Building Construction,144.9523191,-37.80986384,"(-37.80986384, 144.9523191)"
2018,111,100862,100862,West Melbourne (Residential),Anglican Diocese of Melbourne,9540,Religious Services,144.9522981,-37.81013752,"(-37.81013752, 144.9522981)"
2018,111,100862,100862,West Melbourne (Residential),St James Old Cathedral,9540,Religious Services,144.9522981,-37.81013752,"(-37.81013752, 144.9522981)"
2018,101,105327,105327,West Melbourne (Residential),TMG College Australia,8101,Technical and Vocational Education and Training,144.9527256,-37.81068395,"(-37.81068395, 144.9527256)"
2018,438,105367,105367,West Melbourne (Residential),House Share Melbourne,4400,Accommodation,144.9523633,-37.80831712,"(-37.80831712, 144.9523633)"
2018,440,105334,105334,West Melbourne (Residential),Vacant,0,Vacant Space,144.9516426,-37.80879872,"(-37.80879872, 144.9516426)"
2018,440,105334,105334,West Melbourne (Residential),Vacant,0,Vacant Space,144.9516426,-37.80879872,"(-37.80879872, 144.9516426)"
2018,440,105332,105332,West Melbourne (Residential),Victoria Netball Association,9114,Sport and Physical Recreation Administrative Service,144.9517205,-37.80891767,"(-37.80891767, 144.9517205)"
2018,440,105333,105333,West Melbourne (Residential),Gap Cafe,4511,Cafes and Restaurants,144.9516857,-37.80886106,"(-37.80886106, 144.9516857)"
2018,440,105331,105331,West Melbourne (Residential),P L Group (Vic) Pty Ltd,6921,Architectural Services,144.9517572,-37.80900542,"(-37.80900542, 144.9517572)"
2018,440,105331,105331,West Melbourne (Residential),Hunter Management Services,6962,Management Advice and Other Consulting Services,144.9517572,-37.80900542,"(-37.80900542, 144.9517572)"
2018,440,105331,105331,West Melbourne (Residential),Yellow Goanna,7000,Computer System Design and Related Services,144.9517572,-37.80900542,"(-37.80900542, 144.9517572)"
2018,440,105331,105331,West Melbourne (Residential),Mr Greg Thomas,6931,Legal Services,144.9517572,-37.80900542,"(-37.80900542, 144.9517572)"
2018,438,578027,578027,West Melbourne (Residential),Vacant,0,Vacant Space,144.9521936,-37.80809554,"(-37.80809554, 144.9521936)"
2018,432,108434,108434,West Melbourne (Residential),Le Taj Restaurant,4511,Cafes and Restaurants,144.9520516,-37.80776033,"(-37.80776033, 144.9520516)"
2018,438,105365,105365,West Melbourne (Residential),North West Optical Pty Ltd,3491,Professional and Scientific Goods Wholesaling,144.9522577,-37.80813354,"(-37.80813354, 144.9522577)"
2018,439,109946,109946,West Melbourne (Residential),Lambert & Rehbein,6923,Engineering Design and Engineering Consulting Services,144.9527901,-37.80859746,"(-37.80859746, 144.9527901)"
2018,439,109946,109946,West Melbourne (Residential),Phillip Lazarus Pty Limited,3339,Other Hardware Good Wholesaling,144.9527901,-37.80859746,"(-37.80859746, 144.9527901)"
2018,439,109946,109946,West Melbourne (Residential),Professional Footballers Association,9552,Labour Association Services,144.9527901,-37.80859746,"(-37.80859746, 144.9527901)"
2018,439,109946,109946,West Melbourne (Residential),Vacant,0,Vacant Space,144.9527901,-37.80859746,"(-37.80859746, 144.9527901)"
2018,439,109946,109946,West Melbourne (Residential),Vacant,0,Vacant Space,144.9527901,-37.80859746,"(-37.80859746, 144.9527901)"
2018,439,109946,109946,West Melbourne (Residential),Vacant,0,Vacant Space,144.9527901,-37.80859746,"(-37.80859746, 144.9527901)"
2018,439,109946,109946,West Melbourne (Residential),Vacant,0,Vacant Space,144.9527901,-37.80859746,"(-37.80859746, 144.9527901)"
2018,439,102962,102962,West Melbourne (Residential),Witches In Britches Pty Ltd,4520,"Pubs, Taverns and Bars",144.9526357,-37.80890206,"(-37.80890206, 144.9526357)"
2018,439,105368,105368,West Melbourne (Residential),ABA Partners,6932,Accounting Services,144.952494,-37.8086814,"(-37.8086814, 144.952494)"
2018,439,105368,105368,West Melbourne (Residential),Nick Auditore Represents Pty Ltd,6924,Other Specialised Design Services,144.952494,-37.8086814,"(-37.8086814, 144.952494)"
2018,439,105368,105368,West Melbourne (Residential),Cantwell Family Lawyers,6931,Legal Services,144.952494,-37.8086814,"(-37.8086814, 144.952494)"
2018,439,102963,102963,West Melbourne (Residential),Dotchin Tan Pty Ltd,6931,Legal Services,144.9528275,-37.80884696,"(-37.80884696, 144.9528275)"
2018,438,108407,108407,West Melbourne (Residential),Reliable Customs Services,5291,Customs Agency Services,144.9524092,-37.80807148,"(-37.80807148, 144.9524092)"
2018,432,108441,108441,West Melbourne (Residential),Rosslyn Pizzeria,4511,Cafes and Restaurants,144.9524048,-37.80751256,"(-37.80751256, 144.9524048)"
2018,432,108442,108442,West Melbourne (Residential),George Turner,5292,Freight Forwarding Services,144.9524591,-37.80746516,"(-37.80746516, 144.9524591)"
2018,438,108406,108406,West Melbourne (Residential),Healing Minds Psychology,8512,Specialist Medical Services,144.952465,-37.80804358,"(-37.80804358, 144.952465)"
2018,92,102945,102942,West Melbourne (Residential),City Of Melbourne Bowls Club Inc,9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",144.9544197,-37.81044601,"(-37.81044601, 144.9544197)"
2018,92,102941,102942,West Melbourne (Residential),City of Melbourne,9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",144.9544197,-37.81044601,"(-37.81044601, 144.9544197)"
2018,91,598269,598269,West Melbourne (Residential),Honorbond Real Estate,6720,Real Estate Services,144.9535989,-37.81229606,"(-37.81229606, 144.9535989)"
2018,91,598269,598269,West Melbourne (Residential),Impresso Cafe,4511,Cafes and Restaurants,144.9535989,-37.81229606,"(-37.81229606, 144.9535989)"
2018,91,105322,105322,West Melbourne (Residential),Sebastian Rubera & Associates Pty Ltd,6931,Legal Services,144.9535142,-37.81214527,"(-37.81214527, 144.9535142)"
2018,91,105322,105322,West Melbourne (Residential),Tsitas Architects Town Planners,6921,Architectural Services,144.9535142,-37.81214527,"(-37.81214527, 144.9535142)"
2018,91,105322,105322,West Melbourne (Residential),Hansang,4511,Cafes and Restaurants,144.9535142,-37.81214527,"(-37.81214527, 144.9535142)"
2018,91,105472,105472,West Melbourne (Residential),Unifor Australia,3731,Furniture and Floor Covering Wholesaling,144.9534678,-37.81234274,"(-37.81234274, 144.9534678)"
2018,91,105470,105470,West Melbourne (Residential),Ribbon Hair Salon,9511,Hairdressing and Beauty Services,144.9533456,-37.81237724,"(-37.81237724, 144.9533456)"
2018,91,598270,598270,West Melbourne (Residential),TISA Migration Solutions,9539,Other Personal Services n.e.c.,144.9535723,-37.81223883,"(-37.81223883, 144.9535723)"
2018,91,598270,598270,West Melbourne (Residential),Biryani House,4511,Cafes and Restaurants,144.9535723,-37.81223883,"(-37.81223883, 144.9535723)"
2018,91,598270,598270,West Melbourne (Residential),M2 Wealth,7000,Computer System Design and Related Services,144.9535723,-37.81223883,"(-37.81223883, 144.9535723)"
2018,91,105325,105325,West Melbourne (Residential),Sica Consulting,6962,Management Advice and Other Consulting Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),The Moghals,4511,Cafes and Restaurants,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),The Dispensa,4511,Cafes and Restaurants,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Vacant,0,Vacant Space,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Vacant,0,Vacant Space,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Mukushi Legal,6931,Legal Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Farrell Family Lawyers,6931,Legal Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Flagstaff Convenience,4111,Convenience Store,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Vacant,0,Vacant Space,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),HK Accounting Services,6932,Accounting Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
2018,91,105325,105325,West Melbourne (Residential),Alecto Australia,7211,Employment Placement and Recruitment Services,144.9532516,-37.81166329,"(-37.81166329, 144.9532516)"
